Intervallo_Temporale_utilizzato,EngineRPM_Massimo_Con_Random_Input,Velocita_Massima_Con_Random_Input,Entita_Violazione_Con_Random_Input (%),EngineRPM_Massimo_ControEsempio,Velocita_Massima_ControEsempio,Entita_Violazione_ControEsempio (%)
60,4042.67199764875,123.084839278975,0.025,4768.14351795339,145.2993996864,0.210450692151773
60,4173.47987645092,119.758741513614,0,4765.56484326684,150.222813552669,0.256195238050983
60,3860.49749131844,106.369728474324,0,4771.73290218015,130.425107208677,0.0833333333333333
60,3809.17552508077,116.144818938094,0,4705.00442476353,141.193288824959,0.17508816121466
60,4052.35079936188,124.673405075559,0.0333333333333333,4771.05669566489,144.012641190222,0.203413948803668
120,4151.71455916794,127.902401543688,0.0666666666666667,4737.59998863645,149.800361945499,0.255533235740287
120,4357.92553751514,134.95039018448,0.125,4934.96208210372,158.105914451045,0.331027655403556
120,4195.24191993626,130.247570597062,0.0833333333333333,4870.47960770493,155.243241512749,0.303034549633544
120,4196.57627689084,131.18286872181,0.0916666666666667,4792.80452028688,152.0911792013,0.274500579054461
120,4186.22735792545,130.755459186053,0.0916666666666667,4854.37613388709,154.679362944486,0.302089206839452
180,4391.45381426157,136.195143035584,0.133333333333333,4806.19066258542,153.006631668684,0.283282544467533
180,4195.24191993626,130.247570597062,0.0833333333333333,4768.04563739088,151.060749730276,0.265109364807511
240,4282.50778784456,134.002307674713,0.116666666666667,4766.33856707973,151.098796895896,0.265009876359168
300,4338.74727100072,135.402025241554,0.125,4708.44914431092,148.645746446086,0.237867480483577
